Qty,Description,Package Type,Mfr. Part Number,Mouser Part Number
10,1pf 5%,0603,HH18N1R0B500CT,791-HH18N1R0B500CT
10,1pf 5%,0805,885012007045,710-885012007045
10,2.2pf 5%,0603,CC0603BRNPO9BN2R2,603-CC603BRNPO9BN2R2
10,2.2pf 5%,0805,0805N2R2C101CT,791-0805N2R2C101CT
10,10pf 5%,0603,0603N100J160CT,791-0603N100J160CT
10,10pf 5%,0805,0805N100J160CT,791-0805N100J160CT
10,22pf 5%,0603,AC0603JRNPO9BN220,603-AC603JRNPO9BN220
10,22pf 5%,0805,CL21C220JBANFNC,187-CL21C220JBANFNC
10,100pf 5%,0603,0603N101J160CT,791-0603N101J160CT
10,100pf 5%,0805,CL21C101JBANNNC,187-CL21C101JBANNNC
10,220pf 5%,0603,885012006010,710-885012006010
10,220pf 5%,0805,885012007059,710-885012007059
10,100nf 5%,0603,C0603C104J4RACTU,80-C0603C104J4R
10,100nf 5%,0805,CC0805JRX7R7BB104,603-CC805JRX7R7BB104
10,220nf 5%,0603,603-CC603JRX7R7BB224,603-CC603JRX7R7BB224
10,220nf 5%,0805,08055C224J4Z2A,581-08055C224J4Z2A
10,1uf 5%,0603,0603B105J160CT,791-0603B105J160CT
10,1uf 5%,0805,0805B105J100CT,791-0805B105J100CT
10,2.2uf 10%,0603,CL10A225KQ8NNNC,187-CL10A225KQ8NNNC
10,2.2uf 5%,0805,0805X225J160CT,791-0805X225J160CT
10,10uf 10%,0603,CL10A106KQ8NNNC,187-CL10A106KQ8NNNC
10,10uf 10%,0805,CL21A106KOQNNNG,187-CL21A106KOQNNNG
10,22uf 10%,0603,CL10A226KQ8NRNE,187-CL10A226KQ8NRNE
10,22uf 10%,0805,CL21A226KQCLRNC,187-CL21A226KQCLRNC
