Qty,Description,Package Type,Mfr. Part Number,Mouser Part Number,,,
25,0R 1%,1206,CR1206-J/-000ELF,652-CR1206-J/-000ELF,,,
25,0R 1%,0805,RC0805FR-100RL,603-RC0805FR-100RL,,,
25,0R 1%,0603,RC0603FR-070RL,603-RC0603FR-070RL,,,
10,1R 1%,1206,CR1206-F/-1R00ELF,652-CR1206-F/1R00ELF,,,
10,1R 1%,0805,RC0805FR-101RL,603-RC0805FR-101RL,,,
10,1R 1%,0603,RK73H1JTTDD1R00F,660-RK73H1JTTDD1R00F,,,
10,10R 1%,1206,CR1206-FX-10R0ELF,652-CR1206FX-10R0ELF,,,
10,10R 1%,0805,RMC20K100FTP,791-RMC20K100FTP,,,
10,10R 1%,0603,WR06X10R0FTL,791-WR06X10R0FTL,,,
10,15R 1%,1206,RC1206FR-0715RL,603-RC1206FR-0715RL,,,
10,15R 1%,0805,WCR0805-15RFI,756-WCR0805-15RFI,,,
10,15R 1%,0603,CR0603-FX-15R0ELF,652-CR0603FX-15R0ELF,,,
10,22R 1%,1206,RK73H2BTTD22R0F,660-RK73H2BTTD22R0F,,,
10,22R 1%,0805,CR0805-FX-22R0ELF,652-CR0805FX-22R0ELF,,,
10,22R 1%,0603,RC0603FR-0722RL,603-RC0603FR-0722RL,,,
10,33R 1%,1206,CRGH1206F33R,279-CRGH1206F33R,,,
10,33R 1%,0805,WR08X33R0FTL,791-WR08X33R0FTL,,,
10,33R 1%,0603,RC0603FR-1333RL,603-RC0603FR-1333RL,,,
10,47R 1%,1206,CR1206-FX-47R0ELF,652-CR1206FX-47R0ELF,,,
10,47R 1%,0805,CR0805-FX-47R0ELF,652-CR0805FX-47R0ELF,,,
10,47R 1%,0603,CR0603-FX-47R0ELF,652-CR0603FX-47R0ELF,,,
10,51R 1%,1206,CR1206-FX-51R0ELF,652-CR1206FX-51R0ELF,,,
10,51R 1%,0805,RC0805FR-0751RL,603-RC0805FR-0751RL,,,
10,51R 1%,0603,RC0603FR-0751RL,603-RC0603FR-0751RL,,,
10,100R 1%,1206,RC1206FR-07100RL,603-RC1206FR-07100RL,,,
10,100R 1%,0805,ERJ-6ENF1000V,667-ERJ-6ENF1000V,,,
10,100R 1%,0603,CRCW0603100RFKEAC,71-CRCW0603100RFKEAC,,,
10,120R 1%,1206,CR1206-FX-1200ELF,652-CR1206FX-1200ELF,,,
10,120R 1%,0805,RK73H2ATTDD1200F,660-RK73H2ATTDD1200F,,,
10,120R 1%,0603,RC0603FR-07120RL,603-RC0603FR-07120RL,,,
10,200R 1%,1206,CR1206-FX-2000ELF,652-CR1206FX-2000ELF,,,
10,200R 1%,0805,RK73H2ATTDD2000F,660-RK73H2ATTDD2000F,,,
10,200R 1%,0603,RMC16K201FTP,791-RMC16K201FTP,,,
10,220R 1%,1206,CRGH1206F220R,279-CRGH1206F220R,,,
10,220R 1%,0805,WCR0805-220RFI,756-WCR0805-220RFI,,,
10,220R 1%,0603,ERJ-3EKF2200V,667-ERJ-3EKF2200V,,,
10,300R 1%,1206,CR1206-FX-3000ELF,652-CR1206FX-3000ELF,,,
10,300R 1%,0805,RK73H2ATTD3000F,660-RK73H2ATTD3000F,,,
10,300R 1%,0603,CR0603-FX-3000ELF,652-CR0603-FX3000ELF,,,
10,330R 1%,1206,RK73H2BTTD3300F,660-RK73H2BTTD3300F,,,
10,330R 1%,0805,RK73H2ATTD3300F,660-RK73H2ATTD3300F,,,
10,330R 1%,0603,RC0603FR-07330RP,603-RC0603FR-07330RP,,,
10,470R 1%,1206,RK73H2BTTD4700F,660-RK73H2BTTD4700F,,,
10,470R 1%,0805,RK73H2ATTD4700F,660-RK73H2ATTD4700F,,,
10,470R 1%,0603,WR06X4700FTL,791-WR06X4700FTL,,,
25,510R 1%,1206,RK73H2BTTD5100F,660-RK73H2BTTD5100F,,,
25,510R 1%,0805,CR0805-FX-5100ELF,652-CR0805FX-5100ELF,,,
25,510R 1%,0603,ERJ-3EKF5100V,667-ERJ-3EKF5100V,,,
10,820R 1%,1206,RK73H2BTTD8200F,660-RK73H2BTTD8200F,,,
10,820R 1%,0805,ERJ-6ENF8200V,667-ERJ-6ENF8200V,,,
10,820R 1%,0603,RMC16K821FTP,791-RMC16K821FTP,,,
25,1K 1%,1206,RC1206FR-131KL,603-RC1206FR-131KL,,,
25,1K 1%,0805,CRGCQ0805F1K0,279-CRGCQ0805F1K0,,,
25,1K 1%,0603,AC0603FR-101KL,603-AC0603FR-101KL,,,
10,1.5K 1%,1206,RC1206FR-071K5L,603-RC1206FR-071K5L,,,
10,1.5K 1%,0805,RK73H2ATTE1501F,660-RK73H2ATTE1501F,,,
10,1.5K 1%,0603,RK73H1JTTD1501F,660-RK73H1JTTD1501F,,,
10,2K 1%,1206,WCR1206-2KFI,756-WCR1206-2KFI,,,
10,2K 1%,0805,RC0805FR-102KL,603-RC0805FR-102KL,,,
10,2K 1%,0603,AC0603FR-102KL,603-AC0603FR-102KL,,,
10,3K 1%,1206,CR1206-FX-3001ELF,652-CR1206FX-3001ELF,,,
10,3K 1%,0805,RC0805FR-073KL,603-RC0805FR-073KL,,,
10,3K 1%,0603,CRCW06033K00FKEAC,71-CRCW06033K00FKEAC,,,
10,4.7K 1%,1206,WR12X4701FTL,791-WR12X4701FTL,,,
10,4.7K 1%,0805,MR08X4701FTL,791-MR08X4701FTL,,,
10,4.7K 1%,0603,AC0603FR-134K7L,603-AC0603FR-134K7L,,,
10,5.1K 1%,1206,RC1206FR-075K1L,603-RC1206FR-075K1L,,,
10,5.1K 1%,0805,AC0805FR-075K1L,603-AC0805FR-075K1L,,,
10,5.1K 1%,0603,AC0603FR-075K1L,603-AC0603FR-075K1L,,,
10,6.8K 1%,1206,CR1206-FX-6801ELF,652-CR1206FX-6801ELF,,,
10,6.8K 1%,0805,RC0805FR-136K8L,603-RC0805FR-136K8L,,,
10,6.8K 1%,0603,RMC16K682FTP,791-RMC16K682FTP,,,
10,8.2K 1%,1206,CR1206-FX-8201ELF,652-CR1206FX-8201ELF,,,
10,8.2K 1%,0805,WCR0805-8K2FI,756-WCR0805-8K2FI,,,
10,8.2K 1%,0603,RMC16K822FTP,791-RMC16K822FTP,,,
25,10K 1%,1206,RC1206FR-1010KL,603-RC1206FR-1010KL,,,
25,10K 1%,0805,RE0805FRE0710KL,603-RE0805FRE0710KL,,,
25,10K 1%,0603,CRCW060310K0FKEBC,71-CRCW060310K0FKEBC,,,
10,12K 1%,1206,AC1206FR-0712KL,603-AC1206FR-0712KL,,,
10,12K 1%,0805,CR0805-FX-1202ELF,652-CR0805FX-1202ELF,,,
10,12K 1%,0603,RMC1/16K1202FTP,791-RMC1/16-123FTP,,,
10,15K 1%,1206,CRCW120615K0FKEAC,71-CRCW120615K0FKEAC,,,
10,15K 1%,0805,CRGCQ0805F15K,279-CRGCQ0805F15K,,,
10,15K 1%,0603,CR0603-FX-1502ELF,652-CR0603FX-1502ELF,,,
10,20K 1%,1206,WR12X2002FTL,791-WR12X2002FTL,,,
10,20K 1%,0805,ERJ-6ENF2002V,667-ERJ-6ENF2002V,,,
10,20K 1%,0603,RE0603FRE0720KL,603-RE0603FRE0720KL,,,
10,30K 1%,1206,CR1206-FX-3002ELF,652-CR1206FX-3002ELF,,,
10,30K 1%,0805,AC0805FR-0730KL,603-AC0805FR-0730KL,,,
10,30K 1%,0603,AC0603FR-1030KL,603-AC0603FR-1030KL,,,
10,33K 1%,1206,RC1206FR-0733KL,603-RC1206FR-0733KL,,,
10,33K 1%,0805,CR0805-FX-3302ELF,652-CR0805FX-3302ELF,,,
10,33K 1%,0603,RC0603FR-1033KL,603-RC0603FR-1033KL,,,
10,47K 1%,1206,CR1206-FX-4702ELF,652-CR1206FX-4702ELF,,,
10,47K 1%,0805,CRGCQ0805F47K,279-CRGCQ0805F47K,,,
10,47K 1%,0603,RC0603FR-0747KL,603-RC0603FR-0747KL,,,
10,51K 1%,1206,CR1206-FX-5102ELF,652-CR1206FX-5102ELF,,,
10,51K 1%,0805,ERJ-6ENF5102V,667-ERJ-6ENF5102V,,,
10,51K 1%,0603,RC0603FR-1051KL,603-RC0603FR-1051KL,,,
10,68K 1%,1206,CR1206-FX-6802ELF,652-CR1206FX-6802ELF,,,
10,68K 1%,0805,ERJ-6ENF6802V,667-ERJ-6ENF6802V,,,
10,68K 1%,0603,AC0603FR-1068KL,603-AC0603FR-1068KL,,,
25,100K 1%,1206,RK73H2BTTD1003F,660-RK73H2BTTD1003F,,,
25,100K 1%,0805,RC0805FR-13100KL,603-RC0805FR-13100KL,,,
25,100K 1%,0603,AC0603FR-10100KL,603-AC0603FR-10100KL,,,
10,200K 1%,1206,RC1206FR-07200KL,603-RC1206FR-07200KL,,,
10,200K 1%,0805,CRCW0805200KFKEAC,71-CRCW0805200KFKEAC,,,
10,200K 1%,0603,RC0603FR-10200KL,603-RC0603FR-10200KL,,,
10,220K 1%,1206,AC1206FR-07220KL,603-AC1206FR-07220KL,,,
10,220K 1%,0805,CRGCQ0805F220K,279-CRGCQ0805F220K,,,
10,220K 1%,0603,RMC16K224FTP,791-RMC16K224FTP,,,
10,470K 1%,1206,RC1206FR-07470KL,603-RC1206FR-07470KL,,,
10,470K 1%,0805,ERJ-6ENF4703V,667-ERJ-6ENF4703V,,,
10,470K 1%,0603,MR06X4703FTL,791-MR06X4703FTL,,,
10,1M 1%,1206,CR1206-FX-1004ELF,652-CR1206FX-1004ELF,,,
10,1M 1%,0805,WR08X1004FTL,791-WR08X1004FTL,,,
10,1M 1%,0603,AC0603FR-071ML,603-AC0603FR-071ML,,,
10,2M 1%,1206,CR1206-FW-2004ELF,652-CR1206-FW2004ELF,,,
10,2M 1%,0805,ERJ-6ENF2004V,667-ERJ-6ENF2004V,,,
10,2M 1%,0603,AC0603FR-072ML,603-AC0603FR-072ML,,,
10,10M 1%,1206,RC1206FR-0710ML,603-RC1206FR-0710ML,,,
10,10M 1%,0805,RC0805FR-0710ML,603-RC0805FR-0710ML,,,
10,10M 1%,0603,AF0603FR-0710ML,603-AF0603FR-0710ML,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
